"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Buxton, Byron",621439,142,MIN,CF,24,35,20.0,3.98,30.5
"Sierra, Magneuris",642423,146,MIA,CF,22,64,42.0,3.91,30.2
"Quinn, Roman",596451,143,PHI,CF,25,58,29.0,3.88,30.1
"Engel, Adam",641553,145,CWS,CF,26,181,96.0,4.08,30.1
"Hamilton, Billy",571740,113,CIN,CF,27,205,93.0,3.94,30.1
"Turner, Trea",607208,120,WSH,SS,25,261,121.0,4.1,30.1
"Hampson, Garrett",641658,115,COL,SS,23,21,10.0,,30.0
"Bader, Harrison",664056,138,STL,CF,24,155,66.0,4.07,30.0
"DeShields, Delino",592261,140,TEX,CF,25,152,73.0,4.03,29.9
"Brito, Sócrates",593647,109,AZ,RF,25,11,6.0,,29.9
"Galloway, Isaac",543194,146,MIA,CF,28,23,12.0,4.14,29.9
"Mondesi, Adalberto",609275,118,KC,SS,22,102,42.0,4.07,29.9
"Smith, Mallex",605480,139,TB,CF,25,256,85.0,4.03,29.8
"Broxton, Keon",542979,158,MIL,CF,28,34,12.0,4.18,29.7
"Gerber, Mike",595222,116,DET,LF,25,11,4.0,,29.6
"Andreoli, John",607430,110,BAL,LF,28,26,13.0,4.14,29.6
"Story, Trevor",596115,115,COL,SS,25,222,66.0,4.16,29.6
"Acuña Jr., Ronald",660670,144,ATL,LF,20,176,49.0,4.1,29.6
"O'Neill, Tyler",641933,138,STL,LF,23,33,9.0,4.11,29.5
"Shuck, JB",543776,146,MIA,RF,31,63,11.0,3.98,29.5
"Negrón, Kristopher",502117,136,SEA,3B,32,14,4.0,,29.5
"Adams, Lane",572669,144,ATL,,28,13,4.0,,29.5
"Swanson, Dansby",621020,144,ATL,SS,24,202,35.0,4.09,29.4
"Margot, Manuel",622534,135,SD,CF,23,212,32.0,4.19,29.4
"Rosario, Amed",642708,121,NYM,SS,22,271,55.0,4.15,29.4
"Zimmer, Bradley",605548,114,CLE,CF,25,36,9.0,4.1,29.4
"Kingery, Scott",664068,143,PHI,SS,24,163,20.0,4.1,29.4
"Robles, Victor",645302,120,WSH,CF,21,19,7.0,,29.3
"Hermosillo, Michael",641684,108,LAA,RF,23,31,3.0,4.23,29.3
"Brinson, Lewis",621446,146,MIA,CF,24,159,23.0,4.21,29.3
"Mullins, Cedric",656775,110,BAL,CF,23,82,18.0,4.05,29.3
"Fisher, Derek",605233,117,HOU,LF,24,25,6.0,4.18,29.3
"Reyes, Victor",622682,116,DET,LF,23,111,17.0,4.2,29.2
"Trout, Mike",545361,108,LAA,CF,26,185,36.0,4.25,29.2
"Rivera, Yadiel",592680,146,MIA,3B,26,62,1.0,4.24,29.2
"Marisnick, Jake",545350,117,HOU,CF,27,71,13.0,4.24,29.2
"Cordero, Franchy",614173,135,SD,LF,23,48,6.0,4.18,29.1
"Bourjos, Peter",488721,144,ATL,LF,31,20,5.0,4.15,29.1
"Davis, Rajai",434658,114,CLE,CF,37,101,20.0,4.08,29.1
"Hernández, César",514917,143,PHI,2B,28,244,69.0,4.13,29.1
"Gardner, Brett",458731,147,NYY,LF,34,259,34.0,4.02,29.1
"Goodrum, Niko",592348,116,DET,2B,26,188,12.0,4.2,29.1
"Orlando, Paulo",449181,118,KC,CF,32,33,5.0,4.29,29.1
"Jones, JaCoby",592444,116,DET,CF,26,177,14.0,4.24,29.1
"Gosselin, Phil",594838,113,CIN,,29,11,1.0,,29.0
"Dyson, Jarrod",502481,109,AZ,CF,33,87,23.0,4.06,29.0
"Altherr, Aaron",571437,143,PHI,RF,27,97,1.0,4.38,29.0
"Fowler, Dustin",641583,133,OAK,CF,23,66,14.0,4.1,29.0
"Merrifield, Whit",593160,118,KC,2B,29,248,20.0,4.23,29.0
"Wilkerson, Stevie",592859,110,BAL,2B,26,25,3.0,,29.0
"Laureano, Ramón",657656,133,OAK,CF,23,69,5.0,4.1,29.0
"Davis, Jonathan",641505,141,TOR,CF,26,13,4.0,,29.0
"Jankowski, Travis",608671,135,SD,RF,27,177,27.0,4.12,29.0
"Tilson, Charlie",605508,145,CWS,LF,25,71,3.0,4.13,29.0
"Taylor, Michael A.",572191,120,WSH,CF,27,158,27.0,4.14,29.0
"Newman, Kevin",621028,134,PIT,SS,24,49,,4.25,29.0
"Strange-Gordon, Dee",543829,136,SEA,2B,30,297,65.0,3.96,29.0
"Young Jr., Eric",458913,108,LAA,CF,33,52,12.0,4.26,29.0
"Dixon, Brandon",641525,113,CIN,1B,26,44,2.0,4.22,28.9
"García, Avisaíl",541645,145,CWS,RF,27,148,19.0,4.35,28.9
"Kiermaier, Kevin",595281,139,TB,CF,28,160,11.0,4.07,28.9
"Phillips, Brett",621433,118,KC,CF,24,51,1.0,4.07,28.9
"Spangenberg, Cory",605486,135,SD,2B,27,122,19.0,4.09,28.9
"Tauchman, Mike",643565,115,COL,LF,27,18,1.0,4.17,28.9
"Allen, Greg",656185,114,CLE,CF,25,128,22.0,4.14,28.9
"Stevenson, Andrew",664057,120,WSH,,24,33,5.0,4.16,28.9
"Duggar, Steven",621453,137,SF,CF,24,65,9.0,4.15,28.9
"Gentry, Craig",502226,110,BAL,RF,34,81,5.0,4.22,28.9
"Bellinger, Cody",641355,119,LAD,1B,22,227,34.0,4.02,28.8
"Báez, Javier",595879,112,CHC,2B,25,272,13.0,4.19,28.8
"Peraza, José",606299,113,CIN,SS,24,281,18.0,4.19,28.8
"Moncada, Yoán",660162,145,CWS,2B,23,202,20.0,4.2,28.8
"Anderson, Tim",641313,145,CWS,SS,25,249,31.0,4.2,28.8
"Wade, Tyler",642180,147,NYY,2B,23,35,3.0,4.13,28.7
"Albies, Ozzie",645277,144,ATL,2B,21,273,22.0,4.07,28.7
"Meadows, Austin",640457,139,TB,RF,23,68,3.0,4.18,28.7
"Reinheimer, Jack",595373,121,NYM,SS,25,20,2.0,,28.7
"McCutchen, Andrew",457705,147,NYY,RF,31,234,13.0,4.32,28.7
"Marte, Ketel",606466,109,AZ,2B,24,281,10.0,4.23,28.7
"Luplow, Jordan",656669,134,PIT,LF,24,40,,4.33,28.7
"Yelich, Christian",592885,158,MIL,RF,26,309,39.0,4.18,28.7
"Tapia, Raimel",606132,115,COL,,24,10,1.0,,28.6
"Pham, Tommy",502054,139,TB,CF,30,219,5.0,4.42,28.6
"Taylor, Chris",621035,119,LAD,SS,27,211,3.0,4.23,28.6
"Barreto, Franklin",620439,133,OAK,2B,22,20,2.0,,28.6
"Marte, Starling",516782,134,PIT,CF,29,276,45.0,4.12,28.6
"Realmuto, J.T.",592663,146,MIA,C,27,202,10.0,4.27,28.6
"Adduci, James",451192,116,DET,1B,33,83,3.0,4.15,28.6
"Hernández, Teoscar",606192,141,TOR,LF,25,173,2.0,4.28,28.6
"Dozier, Hunter",641531,118,KC,1B,26,142,,4.34,28.6
"Cuevas, Noel",571595,115,COL,RF,26,72,7.0,4.25,28.6
"García, Leury",544725,145,CWS,LF,27,117,9.0,4.08,28.6
"Toles, Andrew",592808,119,LAD,CF,26,14,1.0,,28.6
"Cain, Lorenzo",456715,158,MIL,CF,32,298,18.0,4.18,28.6
"Mahtook, Mikie",543484,116,DET,LF,28,92,3.0,4.27,28.6
"Robinson, Shane",453203,147,NYY,RF,33,24,1.0,4.21,28.6
"Rua, Ryan",607387,140,TEX,LF,28,43,2.0,4.44,28.6
"Difo, Wilmer",594694,120,WSH,2B,26,174,3.0,4.26,28.6
"Saladino, Tyler",573135,158,MIL,SS,28,39,,4.34,28.6
"Maybin, Cameron",457727,136,SEA,LF,31,159,5.0,4.24,28.5
"Dahl, David",621311,115,COL,LF,24,93,5.0,4.18,28.5
"Pirela, José",517369,135,SD,2B,28,215,4.0,4.28,28.5
"Lagares, Juan",501571,121,NYM,CF,29,36,2.0,4.31,28.5
"Herrera, Rosell",594011,118,KC,RF,25,160,2.0,4.21,28.5
"Hernández, Gorkys",491676,137,SF,CF,30,165,5.0,4.29,28.5
"Lugo, Dawel",608475,116,DET,2B,23,61,7.0,4.34,28.5
"Nimmo, Brandon",607043,121,NYM,RF,25,230,4.0,4.23,28.5
"Adames, Willy",642715,139,TB,SS,22,119,1.0,4.26,28.4
"Heredia, Guillermo",628338,136,SEA,CF,27,143,,4.25,28.4
"Blanco, Grégor",453923,137,SF,LF,34,66,3.0,4.14,28.4
"Williams, Nick",608384,143,PHI,RF,24,141,1.0,4.32,28.4
"Hanson, Alen",593700,137,SF,2B,25,143,13.0,4.19,28.4
"Polanco, Jorge",593871,142,MIN,SS,24,121,3.0,4.19,28.4
"Lindor, Francisco",596019,114,CLE,SS,24,300,3.0,4.21,28.4
"Reyes, Pablo",622569,134,PIT,RF,24,30,,4.3,28.4
"Peterson, Jace",607054,110,BAL,3B,28,94,4.0,4.23,28.4
"Culberson, Charlie",518586,144,ATL,LF,29,149,1.0,4.19,28.3
"Ohtani, Shohei",660271,108,LAA,DH,23,129,1.0,4.07,28.3
"Gamel, Ben",592325,136,SEA,LF,26,130,2.0,4.2,28.3
"Chapman, Matt",656305,133,OAK,3B,25,235,6.0,4.37,28.3
"LaMarre, Ryan",534606,145,CWS,CF,29,76,1.0,4.19,28.3
"Wendle, Joey",621563,139,TB,2B,28,243,,4.16,28.3
"Grichuk, Randal",545341,141,TOR,RF,26,137,,4.35,28.3
"Semien, Marcus",543760,133,OAK,SS,27,251,,4.28,28.3
"Powell, Boog",621471,133,OAK,CF,25,14,,,28.3
"Puig, Yasiel",624577,119,LAD,RF,27,192,4.0,4.33,28.3
"Florimón, Pedro",465753,143,PHI,SS,31,28,1.0,,28.3
"Owings, Chris",572008,109,AZ,RF,26,113,,4.14,28.2
"Alfaro, Jorge",595751,143,PHI,C,25,117,,4.35,28.2
"Soler, Jorge",624585,118,KC,RF,26,99,,4.4,28.2
"Rickard, Joey",572073,110,BAL,RF,27,83,1.0,4.23,28.2
"Pollock, AJ",572041,109,AZ,CF,30,188,,4.34,28.2
"Pence, Hunter",452254,137,SF,LF,35,113,,4.22,28.2
"Almonte, Abraham",501659,118,KC,CF,29,56,,4.3,28.2
"Williamson, Mac",607776,137,SF,LF,27,46,,4.32,28.2
"Ahmed, Nick",605113,109,AZ,SS,28,236,1.0,4.35,28.2
"Szczur, Matt",519333,135,SD,,28,28,,4.24,28.2
"DeJong, Paul",657557,138,STL,SS,24,143,,4.36,28.2
"Frazier, Clint",640449,147,NYY,LF,23,16,,,28.2
"Walker, Christian",572233,109,AZ,,27,14,,,28.2
"Muñoz, Yairo",622168,138,STL,SS,23,150,,4.3,28.1
"Sánchez, Yolmer",570560,145,CWS,3B,26,310,,4.25,28.1
"Bonifacio, Jorge",593528,118,KC,RF,25,88,,4.33,28.1
"Ward, Taylor",621493,108,LAA,3B,24,40,,4.44,28.1
"Odor, Rougned",596059,140,TEX,2B,24,178,10.0,4.14,28.1
"Betts, Mookie",605141,111,BOS,RF,25,237,6.0,4.18,28.1
"d'Arnaud, Chase",488818,137,SF,2B,31,26,,4.26,28.1
"Fletcher, David",664058,108,LAA,2B,24,136,,4.24,28.1
"Myers, Wil",571976,135,SD,3B,27,121,,4.35,28.1
"Altuve, Jose",514888,117,HOU,2B,28,279,52.0,4.13,28.1
"Desmond, Ian",435622,115,COL,1B,32,322,2.0,4.36,28.1
"Dean, Austin",621573,146,MIA,LF,24,50,,4.27,28.1
"Souza Jr., Steven",519306,109,AZ,RF,29,98,,4.31,28.1
"Hicks, Aaron",543305,147,NYY,CF,28,198,7.0,4.17,28.1
"Rosario, Eddie",592696,142,MIN,LF,26,237,3.0,4.19,28.0
"Rodríguez, Ronny",500135,116,DET,SS,26,82,,4.25,28.0
"Pérez, Hernán",541650,158,MIL,2B,27,132,,4.38,28.0
"Kiner-Falefa, Isiah",643396,140,TEX,3B,23,205,,4.27,28.0
"Gómez, Carlos",460576,139,TB,RF,32,119,1.0,4.43,28.0
"Tomlinson, Kelby",605509,137,SF,2B,28,68,1.0,4.24,28.0
"Gurriel Jr., Lourdes",666971,141,TOR,SS,24,100,,4.29,28.0
"Iglesias, Jose",578428,116,DET,SS,28,222,4.0,4.16,28.0
"Crawford, J.P.",641487,143,PHI,SS,23,49,,4.38,28.0
"Gregorius, Didi",544369,147,NYY,SS,28,230,,4.24,28.0
"Urías, Luis",649966,135,SD,2B,21,27,,4.29,28.0
"Ervin, Phillip",640447,113,CIN,LF,25,83,3.0,4.28,28.0
"Murphy, Tom",608596,115,COL,C,27,27,,4.38,28.0
"Díaz, Aledmys",649557,141,TOR,SS,27,181,,4.3,28.0
"Slater, Austin",596103,137,SF,LF,25,95,1.0,4.37,28.0
"Torreyes, Ronald",591720,147,NYY,2B,25,46,1.0,4.15,28.0
"Judge, Aaron",592450,147,NYY,RF,26,157,,4.56,28.0
"Field, Johnny",608654,142,MIN,LF,26,83,1.0,4.3,28.0
"Bryant, Kris",592178,112,CHC,3B,26,155,,4.29,28.0
"Guyer, Brandon",446386,114,CLE,RF,32,83,,4.35,27.9
"Duvall, Adam",594807,144,ATL,LF,29,123,1.0,4.35,27.9
"Kepler, Max",596146,142,MIN,RF,25,238,3.0,4.27,27.9
"Ortega, Rafael",542364,146,MIA,RF,27,58,,4.32,27.9
"Jansen, Danny",643376,141,TOR,C,23,37,1.0,4.29,27.9
"Torres, Ramón",593527,118,KC,3B,25,18,,,27.9
"Thompson, Trayce",572204,145,CWS,RF,27,38,,4.34,27.9
"Santana, Danny",542454,144,ATL,LF,27,11,1.0,,27.9
"Segura, Jean",516416,136,SEA,SS,28,313,8.0,4.21,27.9
"Escobar, Eduardo",500871,109,AZ,3B,29,230,1.0,4.27,27.8
"Inciarte, Ender",542255,144,ATL,CF,27,294,,4.12,27.8
"Polanco, Gregory",570256,134,PIT,RF,26,175,8.0,4.18,27.9
"Dickerson, Corey",572816,134,PIT,LF,29,209,,4.22,27.8
"Kozma, Pete",518902,116,DET,SS,30,37,,4.33,27.8
"Wisdom, Patrick",621550,138,STL,3B,26,15,,,27.8
"Bregman, Alex",608324,117,HOU,3B,24,296,,4.3,27.8
"Pillar, Kevin",607680,141,TOR,CF,29,187,2.0,4.33,27.8
"Almora Jr., Albert",546991,112,CHC,CF,24,236,,4.35,27.8
"Andujar, Miguel",609280,147,NYY,3B,23,284,2.0,4.31,27.8
"Bogaerts, Xander",593428,111,BOS,SS,25,270,3.0,4.23,27.8
"Upton, Justin",457708,108,LAA,LF,30,204,2.0,4.37,27.8
"Ozuna, Marcell",542303,138,STL,LF,27,249,1.0,4.42,27.8
"Bradley Jr., Jackie",598265,111,BOS,CF,28,213,,4.26,27.8
"Haniger, Mitch",571745,136,SEA,RF,27,250,,4.38,27.8
"Riddle, JT",595375,146,MIA,SS,26,138,,4.37,27.8
"Stanton, Giancarlo",519317,147,NYY,DH,28,240,3.0,4.45,27.8
"Bauers, Jake",641343,139,TB,1B,22,138,,4.19,27.8
"Conforto, Michael",624424,121,NYM,LF,25,217,,4.35,27.8
"Bote, David",623520,112,CHC,3B,25,99,,4.31,27.8
"Cave, Jake",595909,142,MIN,CF,25,132,,4.28,27.8
"Castellanos, Nick",592206,116,DET,RF,26,233,,4.29,27.8
"Grossman, Robbie",543257,142,MIN,RF,28,197,1.0,4.27,27.8
"Benintendi, Andrew",643217,111,BOS,LF,23,275,1.0,4.22,27.7
"Schebler, Scott",594988,113,CIN,RF,27,166,,4.22,27.7
"Hernández, Enrique",571771,119,LAD,CF,26,177,,4.35,27.8
"McNeil, Jeff",643446,121,NYM,2B,26,117,,4.09,27.8
"Correa, Carlos",621043,117,HOU,SS,23,176,1.0,4.32,27.8
"Miller, Brad",543543,158,MIL,1B,28,85,,4.28,27.7
"Williams, Mason",592863,113,CIN,RF,26,54,,4.23,27.7
"Moroff, Max",621559,134,PIT,2B,25,16,,,27.7
"Reddick, Josh",502210,117,HOU,RF,31,165,,4.24,27.7
"Duffy, Matt",622110,139,TB,3B,27,280,,4.42,27.7
"Machado, Dixon",553988,116,DET,2B,26,99,,4.43,27.7
"Tocci, Carlos",624636,140,TEX,CF,22,57,,4.37,27.7
"Lin, Tzu-Wei",624407,111,BOS,SS,24,32,1.0,4.22,27.7
"Springer, George",543807,117,HOU,CF,28,278,4.0,4.31,27.7
"Valera, Breyvic",591971,110,BAL,2B,26,31,,4.21,27.7
"Rondón, José",602922,145,CWS,3B,24,42,,4.38,27.7
"Robertson, Daniel",621002,139,TB,2B,24,148,,4.44,27.7
"Span, Denard",452655,136,SEA,LF,34,202,,4.34,27.7
"Wong, Kolten",543939,138,STL,2B,27,174,1.0,4.16,27.7
"Refsnyder, Rob",608701,139,TB,LF,27,32,,4.33,27.7
"Happ, Ian",664023,112,CHC,CF,23,142,,4.31,27.6
"Herrera, Dilson",599096,113,CIN,2B,24,21,,,27.6
"Blackmon, Charlie",453568,115,COL,CF,31,274,4.0,4.27,27.6
"Gallo, Joey",608336,140,TEX,LF,24,110,,4.42,27.6
"Heyward, Jason",518792,112,CHC,RF,28,224,,4.33,27.6
"Mercer, Jordy",474568,134,PIT,SS,31,149,,4.35,27.6
"Villar, Jonathan",542340,110,BAL,2B,27,212,,4.21,27.6
"Smolinski, Jake",519295,133,OAK,CF,29,18,,4.38,27.6
"Contreras, Willson",575929,112,CHC,C,26,243,,4.32,27.6
"Canha, Mark",592192,133,OAK,CF,29,161,,4.34,27.6
"Profar, Jurickson",595777,140,TEX,SS,25,261,,4.32,27.6
"Stewart, DJ",621466,110,BAL,LF,24,15,,,27.6
"Muncy, Max",571970,119,LAD,1B,27,145,,4.29,27.6
"Gurriel, Yuli",493329,117,HOU,1B,34,274,1.0,4.32,27.6
"Kemp, Tony",643393,117,HOU,LF,26,130,,4.15,27.6
"Díaz, Yandy",650490,114,CLE,DH,26,56,,4.44,27.6
"Goodwin, Brian",571718,118,KC,CF,27,59,,4.19,27.6
"Valaika, Pat",642162,115,COL,2B,25,44,,4.36,27.5
"Escobar, Alcides",444876,118,KC,SS,31,240,,4.33,27.5
"Martin, Leonys",547982,114,CLE,CF,30,124,,4.3,27.5
"Urena, Richard",620446,141,TOR,SS,22,34,,,27.5
"Schoop, Jonathan",570731,158,MIL,2B,26,202,,4.48,27.5
"Russell, Addison",608365,112,CHC,SS,24,183,1.0,4.25,27.5
"Harper, Bryce",547180,120,WSH,RF,25,206,2.0,4.34,27.5
"McKinney, Billy",641856,141,TOR,LF,23,41,,4.27,27.5
"Eaton, Adam",594809,120,WSH,RF,29,145,,4.18,27.5
"González, Erik",570481,114,CLE,2B,26,69,,4.31,27.5
"Núñez, Eduardo",456488,111,BOS,2B,31,253,10.0,4.24,27.5
"Cespedes, Yoenis",493316,121,NYM,LF,32,36,,4.39,27.5
"Cooper, Garrett",643265,146,MIA,1B,27,15,,,27.5
"Reyes, José",408314,121,NYM,3B,35,105,1.0,4.17,27.5
"Jackson, Austin",457706,121,NYM,CF,31,119,,4.51,27.5
