"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Galvis, Freddy",520471,143,PHI,SS,26,221,1.0,4.23,27.5
"Crawford, Carl",408307,119,LAD,LF,34,51,,4.3,27.5
"Escobar, Eduardo",500871,142,MIN,SS,27,137,,4.24,27.5
"Alberto, Hanser",593643,140,TEX,SS,23,24,,4.28,27.5
"Wong, Kolten",543939,138,STL,2B,25,137,1.0,4.18,27.5
"Schoop, Jonathan",570731,110,BAL,2B,24,268,,4.53,27.5
"Escobar, Alcides",444876,118,KC,SS,29,307,3.0,4.34,27.5
"Coats, Jason",605183,145,CWS,RF,26,31,,4.38,27.5
"Stanton, Giancarlo",519317,146,MIA,RF,26,132,,4.54,27.5
"Barney, Darwin",446381,141,TOR,2B,30,131,,4.35,27.4
"Andrus, Elvis",462101,140,TEX,SS,27,284,1.0,4.38,27.4
"Suárez, Eugenio",553993,113,CIN,3B,24,205,,4.45,27.4
"Núñez, Renato",600524,133,OAK,DH,22,10,,,27.4
"Castro, Starlin",516770,147,NYY,2B,26,261,,4.26,27.4
"Soler, Jorge",624585,112,CHC,LF,24,86,,4.54,27.4
"Amarista, Alexi",506560,135,SD,2B,27,52,,4.22,27.4
"Bradley Jr., Jackie",598265,111,BOS,CF,26,257,,4.32,27.4
"Martin, Leonys",547982,136,SEA,CF,28,167,2.0,4.31,27.4
"Middlebrooks, Will",519025,158,MIL,3B,27,10,1.0,,27.4
"Upton, Justin",457708,116,DET,LF,28,183,,4.5,27.4
"Ackley, Dustin",554429,147,NYY,1B,28,26,,4.25,27.4
"McBride, Matt",473724,133,OAK,C,31,14,,,27.4
"Utley, Chase",400284,119,LAD,2B,37,215,3.0,4.28,27.4
"Norris, Derek",519083,135,SD,C,27,122,,4.45,27.4
"Longoria, Evan",446334,139,TB,3B,30,231,,4.36,27.4
"Braun, Ryan",460075,158,MIL,LF,32,269,,4.4,27.4
"Dickerson, Corey",572816,139,TB,LF,27,187,,4.29,27.4
"Refsnyder, Rob",608701,147,NYY,1B,25,85,,4.36,27.4
"Goldschmidt, Paul",502671,109,AZ,1B,28,237,1.0,4.41,27.3
"Reddick, Josh",502210,119,LAD,RF,29,177,,4.24,27.4
"Gurriel, Yuli",493329,117,HOU,3B,32,59,,4.33,27.3
"Herrera, Odúbel",546318,143,PHI,CF,24,244,16.0,4.11,27.3
"Rogers, Jason",595386,134,PIT,,28,11,,,27.3
"Motter, Taylor",600301,139,TB,SS,26,35,,4.45,27.3
"Kipnis, Jason",543401,114,CLE,2B,29,247,,4.35,27.3
"Polanco, Gregory",570256,134,PIT,RF,24,194,5.0,4.26,27.3
"Bell, Josh",605137,134,PIT,1B,23,66,,4.33,27.3
"Hill, Aaron",431094,111,BOS,3B,34,142,,4.33,27.3
"Revere, Ben",519184,120,WSH,CF,28,199,9.0,4.27,27.3
"Zobrist, Ben",450314,112,CHC,2B,35,292,,4.3,27.3
"Flores, Ramón",570717,158,MIL,RF,24,115,1.0,4.36,27.3
"Rondón, José",602922,135,SD,SS,22,13,,4.37,27.3
"Drury, Brandon",592273,109,AZ,LF,23,207,1.0,4.42,27.3
"Adames, Cristhian",542436,115,COL,SS,24,120,,4.27,27.3
"Granderson, Curtis",434158,121,NYM,RF,35,181,,4.25,27.3
"Harper, Bryce",547180,120,WSH,RF,23,204,,4.32,27.3
"Kelly, Don",430603,146,MIA,1B,36,13,,,27.3
"Piscotty, Stephen",572039,138,STL,RF,25,261,,4.37,27.2
"Aoki, Norichika",493114,136,SEA,LF,34,244,1.0,4.08,27.2
"Conforto, Michael",624424,121,NYM,LF,23,106,,4.43,27.2
"Travis, Devon",581527,141,TOR,2B,25,184,,4.34,27.2
"Gattis, Evan",594828,117,HOU,DH,29,160,,4.44,27.2
"Lamb, Jake",571875,109,AZ,3B,25,243,,4.38,27.2
"Schafer, Logan",502582,142,MIN,LF,29,25,,,27.2
"Van Slyke, Scott",475100,119,LAD,LF,29,34,,4.49,27.2
"Paredes, Jimmy",517370,143,PHI,RF,27,72,,4.36,27.2
"O'Brien, Peter",598284,109,AZ,LF,25,24,,4.46,27.2
"Tucker, Preston",605512,117,HOU,DH,25,47,,4.29,27.2
"Asuaje, Carlos",641319,135,SD,2B,24,12,,,27.1
"Wolters, Tony",547172,115,COL,C,24,98,,4.34,27.2
"LeMahieu, DJ",518934,115,COL,2B,27,294,,4.53,27.1
"Cespedes, Yoenis",493316,121,NYM,LF,30,153,2.0,4.42,27.1
"Austin, Tyler",592122,147,NYY,1B,24,28,1.0,4.53,27.1
"Renfroe, Hunter",592669,135,SD,RF,24,17,,,27.1
"Green, Grant",502205,137,SF,2B,28,20,,,27.1
"Nieuwenhuis, Kirk",543590,158,MIL,CF,28,122,,4.39,27.1
"d'Arnaud, Travis",518595,121,NYM,C,27,112,,4.52,27.1
"Simmons, Andrelton",592743,108,LAA,SS,26,256,,4.46,27.1
"Santana, Domingo",570267,158,MIL,RF,23,95,,4.48,27.1
"Lindor, Francisco",596019,114,CLE,SS,22,323,1.0,4.31,27.1
"Donaldson, Josh",518626,141,TOR,3B,30,237,,4.37,27.1
"Beresford, James",503437,142,MIN,1B,27,16,,,27.1
"Davis, Khris",501981,133,OAK,LF,28,191,,4.63,27.1
"Zimmerman, Ryan",475582,120,WSH,1B,31,180,,4.45,27.1
"Hernández, Enrique",571771,119,LAD,LF,24,83,,4.47,27.0
"Martinez, J.D.",502110,116,DET,RF,28,176,,4.41,27.0
"Rodríguez, Sean",446481,134,PIT,2B,31,106,,4.48,27.0
"Valencia, Danny",502143,133,OAK,3B,31,173,1.0,4.45,27.0
"González, Carlos",471865,115,COL,RF,30,266,,4.3,27.0
"Elmore, Jake",518653,158,MIL,,29,43,,4.32,27.0
"Maile, Luke",571912,139,TB,C,25,50,,4.51,27.0
"Franklin, Nick",545338,139,TB,LF,25,52,,4.28,27.0
"Tomás, Yasmany",630111,109,AZ,RF,25,206,,4.53,27.0
"den Dekker, Matthew",544925,120,WSH,CF,28,10,,,27.0
"Trumbo, Mark",444432,110,BAL,RF,30,200,1.0,4.59,27.0
"Goins, Ryan",572365,141,TOR,2B,28,81,,4.48,27.0
"Freese, David",501896,134,PIT,3B,33,200,,4.4,26.9
"Rojas, Miguel",500743,146,MIA,SS,27,114,,4.4,26.9
"Johnson, Kelly",430637,121,NYM,2B,34,124,,4.4,26.9
"Pena, Ramiro",455369,137,SF,2B,30,36,,4.4,26.9
"Chisenhall, Lonnie",502082,114,CLE,RF,27,180,1.0,4.39,26.9
"Saunders, Michael",459431,141,TOR,LF,29,192,,4.3,26.9
"Descalso, Daniel",518614,115,COL,SS,29,115,,4.3,26.9
"Mazara, Nomar",608577,140,TEX,RF,21,230,,4.37,26.9
"Asche, Cody",605125,143,PHI,LF,26,81,,4.37,26.9
"White, Tyler",643603,117,HOU,1B,25,94,,4.4,26.9
"Rollins, Jimmy",276519,145,CWS,SS,37,75,,4.28,26.9
"Castellanos, Nick",592206,116,DET,3B,24,152,,4.41,26.9
"Morrison, Logan",489149,139,TB,1B,28,140,,4.49,26.8
"Segedin, Rob",574847,119,LAD,3B,27,31,,4.45,26.8
"Murphy, Tom",608596,115,COL,C,25,11,,,26.8
"Ramirez, Hanley",434670,111,BOS,1B,32,239,1.0,4.46,26.8
"Raburn, Ryan",430605,115,COL,LF,35,84,1.0,4.56,26.8
"Paulsen, Ben",572019,115,COL,1B,28,39,,4.32,26.8
"Kinsler, Ian",435079,116,DET,2B,34,232,,4.46,26.8
"Solano, Donovan",456781,147,NYY,2B,28,13,,,26.8
"Barnes, Austin",605131,119,LAD,C,26,11,,,26.8
"Byrd, Marlon",407781,114,CLE,RF,38,31,,4.41,26.8
"Bruce, Jay",457803,121,NYM,RF,29,214,,4.35,26.8
"Recker, Anthony",489232,144,ATL,C,32,33,,4.42,26.8
"Kendrick, Howie",435062,119,LAD,LF,32,269,,4.47,26.7
"Brown, Trevor",623143,137,SF,C,24,71,,4.44,26.7
"Pennington, Cliff",460060,108,LAA,2B,32,59,,4.32,26.7
"Garneau, Dustin",572863,115,COL,C,28,24,,4.59,26.7
"McCann, James",543510,116,DET,C,26,111,,4.63,26.7
"Crawford, Brandon",543063,137,SF,SS,29,233,,4.35,26.7
"Flaherty, Ryan",475247,110,BAL,3B,29,68,1.0,4.4,26.7
"Murphy, John Ryan",571974,142,MIN,C,25,28,,4.48,26.7
"Castro, Daniel",593495,144,ATL,SS,23,61,,4.45,26.7
"Prado, Martín",445988,146,MIA,3B,32,310,,4.54,26.7
"Cuthbert, Cheslor",596144,118,KC,3B,23,218,,4.47,26.7
"Snyder, Brandon",474319,144,ATL,,29,19,,,26.7
"Patterson, Jordan",641958,115,COL,1B,24,10,,,26.6
"Carter, Chris",474892,158,MIL,1B,29,151,1.0,4.65,26.6
"Shaffer, Richie",572128,139,TB,1B,25,26,,,26.6
"Pearce, Steve",456665,110,BAL,1B,33,103,,4.5,26.6
"Park, ByungHo",666560,142,MIN,DH,29,69,,4.56,26.6
"Seager, Corey",608369,119,LAD,SS,22,308,1.0,4.51,26.6
"Gomes, Yan",543228,114,CLE,C,28,94,,4.55,26.6
"Mesoraco, Devin",519023,113,CIN,C,28,22,,4.44,26.6
"Adrianza, Ehire",501303,137,SF,SS,26,26,,4.32,26.6
"Carpenter, Matt",572761,138,STL,3B,30,160,,4.36,26.6
"Ramirez, Alexei",493351,139,TB,SS,34,244,,4.49,26.6
"Castro, Jason",488771,117,HOU,C,29,110,,4.46,26.6
"La Stella, Tommy",600303,112,CHC,3B,27,66,,4.37,26.6
"Worth, Danny",519445,117,HOU,3B,30,19,,4.48,26.5
"Pedroia, Dustin",456030,111,BOS,2B,32,321,,4.36,26.5
"Davis, Chris",448801,110,BAL,1B,30,182,1.0,4.51,26.5
"Gonzalez, Marwin",503556,117,HOU,1B,27,180,,4.42,26.5
"Murphy, Daniel",502517,120,WSH,2B,31,226,,4.38,26.5
"Joseph, Caleb",543376,110,BAL,C,30,47,,4.58,26.5
"Pérez, Carlos",542208,108,LAA,C,25,104,,4.48,26.5
"Pederson, Joc",592626,119,LAD,CF,24,155,,4.33,26.5
"Panik, Joe",605412,137,SF,2B,25,210,,4.39,26.5
"Moya, Steven",570615,116,DET,RF,24,25,,4.48,26.5
"Kim, Hyun Soo",547957,110,BAL,LF,28,152,,4.33,26.4
"Healy, Ryon",592387,133,OAK,3B,24,107,,4.62,26.4
"Parra, Gerardo",467827,115,COL,LF,29,192,,4.31,26.4
"Mauer, Joe",408045,142,MIN,1B,33,250,,4.48,26.4
"Plawecki, Kevin",608700,121,NYM,C,25,65,,4.55,26.4
"Zunino, Mike",572287,136,SEA,C,25,44,1.0,4.54,26.4
"Blanco, Andrés",433217,143,PHI,3B,32,100,,4.48,26.4
"Profar, Jurickson",595777,140,TEX,3B,23,125,1.0,4.46,26.4
"García, Adonis",611177,144,ATL,3B,31,246,,4.5,26.4
"Olivera, Héctor",493343,144,ATL,LF,31,12,,,26.4
"McGehee, Casey",431171,116,DET,3B,33,44,,4.6,26.3
"Freeman, Freddie",518692,144,ATL,1B,26,188,,4.49,26.3
"Belt, Brandon",474832,137,SF,1B,28,169,,4.45,26.3
"Drew, Stephen",452220,120,WSH,2B,33,48,,4.46,26.3
"Phegley, Josh",572033,133,OAK,C,28,28,,4.42,26.3
